Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
1/23/2020,657,18,32,607,101,2.74,4.87,56.25,9
1/24/2020,944,26,39,879,289,2.75,4.13,66.67,10
1/25/2020,1437,42,42,1353,495,2.92,2.92,100,12
1/26/2020,2120,56,56,2008,683,2.64,2.64,100,13
1/27/2020,2929,82,65,2782,809,2.8,2.22,126.15,16
1/28/2020,5580,131,108,5341,2653,2.35,1.94,121.3,16
1/29/2020,6169,133,127,5909,589,2.16,2.06,104.72,18
1/30/2020,8237,171,145,7921,2071,2.08,1.76,117.93,20
1/31/2020,9927,213,225,9489,1690,2.15,2.27,94.67,23
2/1/2020,12038,259,287,11492,2111,2.15,2.38,90.24,25
2/2/2020,16787,362,476,15949,4749,2.16,2.84,76.05,25
2/3/2020,19887,426,627,18834,3100,2.14,3.15,67.94,25
2/4/2020,23899,492,857,22550,4012,2.06,3.59,57.41,26
2/5/2020,27644,564,1130,25950,3745,2.04,4.09,49.91,26
2/6/2020,30806,634,1493,28679,3192,2.06,4.85,42.46,26
2/7/2020,34400,719,2016,31665,3594,2.09,5.86,35.66,27
2/8/2020,37131,806,2617,33708,2731,2.17,7.05,30.8,27
2/9/2020,40162,906,3247,36009,3031,2.26,8.08,27.9,27
2/10/2020,42771,1013,3949,37809,2609,2.37,9.23,25.65,27
2/11/2020,44814,1113,4684,39017,2043,2.48,10.45,23.76,27
2/12/2020,45232,1118,5151,38963,418,2.47,11.39,21.7,27
2/13/2020,60384,1371,6294,52719,15152,2.27,10.42,21.78,27
2/14/2020,66912,1523,8061,57328,6528,2.28,12.05,18.89,28
2/15/2020,69055,1666,9397,57992,2143,2.41,13.61,17.73,28
2/16/2020,71238,1770,10867,58601,2183,2.48,15.25,16.29,28
2/17/2020,73273,1868,12587,58818,2035,2.55,17.18,14.84,28
2/18/2020,75155,2008,14352,58795,1883,2.67,19.1,13.99,28
2/19/2020,75655,2123,16123,57409,500,2.81,21.31,13.17,29
2/20/2020,76216,2248,18181,55787,561,2.95,23.85,12.36,29
2/21/2020,76846,2252,18894,55700,630,2.93,24.59,11.92,31
2/22/2020,78608,2459,22892,53257,1763,3.13,29.12,10.74,31
2/23/2020,78990,2470,23397,53123,385,3.13,29.62,10.56,32
2/24/2020,79558,2630,25229,51699,570,3.31,31.71,10.42,37
2/25/2020,80412,2710,27907,49795,854,3.37,34.71,9.71,42
2/26/2020,81385,2771,30388,48226,973,3.4,37.34,9.12,48
2/27/2020,82730,2814,33282,46634,1345,3.4,40.23,8.46,51
2/28/2020,84154,2873,36714,44567,1424,3.41,43.63,7.83,56
2/29/2020,86030,2943,39785,43302,1881,3.42,46.25,7.4,62
3/1/2020,88410,2997,42721,42692,2382,3.39,48.32,7.02,67
3/2/2020,90393,3086,45605,41702,1983,3.41,50.45,6.77,74
3/3/2020,93004,3160,48227,41617,2612,3.4,51.85,6.55,77
3/4/2020,95329,3255,51170,40904,2329,3.41,53.68,6.36,81
3/5/2020,98046,3348,53796,40902,2717,3.41,54.87,6.22,85
3/6/2020,101976,3461,55864,42651,3931,3.39,54.78,6.2,94
3/7/2020,106122,3566,58358,44198,4151,3.36,54.99,6.11,95
3/8/2020,109972,3807,60695,45470,3851,3.46,55.19,6.27,100
3/9/2020,114299,3997,62495,47807,4328,3.5,54.68,6.4,102
3/10/2020,119108,4273,64402,50433,4811,3.59,54.07,6.63,106
3/11/2020,126628,4618,66999,55011,7549,3.65,52.91,6.89,112
3/12/2020,133383,4930,68328,60125,6759,3.7,51.23,7.22,114
3/13/2020,146673,5420,70255,70998,13295,3.7,47.9,7.71,120
3/14/2020,157617,5843,72622,79152,10947,3.71,46.07,8.05,134
